time,# of other packets,# of uplink PG packets,# of downlink PG packets,# of total PG packets,uplink PG BW,downlink PG BW,total PG BW
0,1,0,0,0,0,0,0
1,1,0,0,0,0,0,0
3,2,0,0,0,0,0,0
4,1,0,0,0,0,0,0
5,1,0,0,0,0,0,0
9,1,0,0,0,0,0,0
10,0,4,4,8,2509,0,2509
11,4,22,40,62,39,40433,40472
12,2,0,0,0,0,0,0
13,1,0,0,0,0,0,0
14,4,29,28,57,5041,4707,9748
15,7,1,1,2,0,169,169
16,1,0,0,0,0,0,0
18,1,0,0,0,0,0,0
22,70,0,0,0,0,0,0
23,31,0,0,0,0,0,0
24,11,0,0,0,0,0,0
26,1,0,0,0,0,0,0
31,1,0,0,0,0,0,0
32,2,0,0,0,0,0,0
33,2,0,0,0,0,0,0
35,2,0,0,0,0,0,0
36,3,0,0,0,0,0,0
38,1,0,0,0,0,0,0
39,1,0,0,0,0,0,0
40,0,4,0,4,2597,0,2597
41,0,30,50,80,78,42824,42902
42,1,0,0,0,0,0,0
43,1,0,0,0,0,0,0
44,0,11,13,24,1746,1078,2824
45,2,0,0,0,0,0,0
51,1,0,0,0,0,0,0
53,2,0,0,0,0,0,0
54,2,0,0,0,0,0,0
57,2,0,0,0,0,0,0
60,1,0,0,0,0,0,0
61,1,0,0,0,0,0,0
63,1,0,0,0,0,0,0
65,1,0,0,0,0,0,0
66,2,0,0,0,0,0,0
70,0,4,4,8,2269,0,2269
71,0,7,38,45,39,39933,39972
72,2,0,0,0,0,0,0
74,23,11,11,22,3189,171,3360
75,16,18,17,35,1884,4806,6690
77,5,0,0,0,0,0,0
78,7,0,0,0,0,0,0
79,4,0,0,0,0,0,0
80,1,0,0,0,0,0,0
81,1,0,0,0,0,0,0
82,1,0,0,0,0,0,0
83,7,0,0,0,0,0,0
84,1,0,0,0,0,0,0
85,1,0,0,0,0,0,0
87,7,0,0,0,0,0,0
95,2,0,0,0,0,0,0
96,2,0,0,0,0,0,0
99,2,0,0,0,0,0,0
101,0,13,42,55,3108,41408,44516
105,0,12,14,26,2098,1137,3235
108,3,0,0,0,0,0,0
109,1,0,0,0,0,0,0
111,1,0,0,0,0,0,0
114,5,0,0,0,0,0,0
116,3,0,0,0,0,0,0
117,2,0,0,0,0,0,0
118,0,19,24,43,5404,5581,10985
119,0,51,59,110,10093,11978,22071
120,2,14,18,32,2748,1720,4468
121,522,9,11,20,4288,3510,7798
124,0,9,9,18,1844,676,2520
125,1,0,0,0,0,0,0
127,0,7,8,15,1772,1907,3679
129,3,0,0,0,0,0,0
130,1,7,8,15,1924,932,2856
131,0,16,43,59,3094,37039,40133
132,2,0,0,0,0,0,0
133,3,0,0,0,0,0,0
134,1,8,9,17,3142,1918,5060
135,1,0,0,0,0,0,0
136,1,0,0,0,0,0,0
137,2,8,9,17,1972,3419,5391
138,3,0,0,0,0,0,0
139,1,0,0,0,0,0,0
140,1,3,3,6,1765,0,1765
141,3,5,5,10,39,1826,1865
142,2,8,9,17,3022,810,3832
143,1,0,0,0,0,0,0
144,1,8,9,17,3166,876,4042
146,1,0,0,0,0,0,0
147,1,8,8,16,1820,1868,3688
148,2,29,31,60,7534,2527,10061
149,0,8,8,16,1248,2113,3361
150,3,0,0,0,0,0,0
152,0,22,26,48,4620,8709,13329
154,0,4,4,8,2671,0,2671
155,1,134,343,477,220,459895,460115
158,3,0,0,0,0,0,0
159,2,0,0,0,0,0,0
162,2,13,13,26,4331,4146,8477
163,0,20,22,42,4125,7006,11131
164,1,23,24,47,4300,6990,11290
165,0,23,23,46,4164,7228,11392
166,0,24,25,49,5534,7336,12870
167,1,19,24,43,5450,7063,12513
168,0,24,25,49,4195,6973,11168
169,0,19,23,42,4209,6779,10988
170,0,19,22,41,2839,7496,10335
171,2,0,0,0,0,0,0
172,0,12,12,24,3075,1634,4709
173,1,7,8,15,1420,1900,3320
174,0,7,8,15,2790,1704,4494
175,0,7,7,14,1420,1671,3091
176,0,8,9,17,1451,1771,3222
177,0,6,7,13,1420,1687,3107
178,0,10,10,20,3006,3033,6039
180,2,0,0,0,0,0,0
181,3,21,21,42,7073,5851,12924
182,0,20,23,43,4113,4896,9009
183,0,8,8,16,1420,1469,2889
184,2,5,7,12,1364,1534,2898
185,0,9,10,19,2926,1778,4704
186,0,6,8,14,1364,1798,3162
187,0,5,7,12,1364,1741,3105
188,0,6,7,13,1364,1581,2945
189,0,8,8,16,1388,2913,4301
190,1,0,0,0,0,0,0
192,2,38,39,77,9904,9283,19187
193,2,19,26,45,5364,7965,13329
194,0,21,24,45,4139,7378,11517
195,4,23,27,50,4163,7694,11857
196,0,7,8,15,1364,1713,3077
197,0,6,8,14,1420,1869,3289
198,0,2,2,4,1325,0,1325
199,0,13,14,27,3021,3379,6400
200,0,2,2,4,1381,0,1381
201,2,11,13,24,1459,3293,4752
202,2,10,10,20,2806,3066,5872
204,1,0,0,0,0,0,0
205,2,10,14,24,2913,3189,6102
206,0,40,38,78,9804,9346,19150
207,0,14,17,31,2784,5880,8664
208,0,23,23,46,4211,6324,10535
209,0,23,25,48,4155,8535,12690
210,0,12,12,24,1419,3279,4698
211,0,7,8,15,1364,1640,3004
212,0,6,7,13,1364,1654,3018
213,0,8,8,16,1556,1474,3030
214,2,8,8,16,1395,1448,2843
215,0,6,7,13,1364,1448,2812
216,0,6,7,13,1364,1615,2979
217,0,7,9,16,1380,2940,4320
219,0,3,3,6,1517,0,1517
220,0,21,25,46,4108,9097,13205
221,0,18,20,38,2783,6135,8918
222,2,22,23,45,4092,7998,12090
223,2,16,17,33,4133,3702,7835
224,0,15,21,36,2783,7569,10352
225,0,10,10,20,1500,4050,5550
226,2,7,9,16,1380,4062,5442
227,0,3,3,6,1653,0,1653
228,0,6,7,13,1420,1769,3189
229,0,7,7,14,1420,1610,3030
230,0,6,7,13,1444,1738,3182
231,0,7,7,14,1356,1683,3039
232,0,5,6,11,39,1524,1563
233,0,10,13,23,2889,4266,7155
234,0,4,3,7,39,424,463
235,2,0,0,0,0,0,0
236,1,0,0,0,0,0,0
237,0,23,25,48,5433,7717,13150
238,1,20,23,43,4084,7216,11300
239,0,36,35,71,5928,8966,14894
240,1,16,18,34,2904,5884,8788
241,0,23,25,48,4084,7899,11983
242,0,12,13,25,1395,4441,5836
243,2,7,8,15,1356,1832,3188
244,2,6,7,13,1356,1568,2924
245,1,7,7,14,1356,1691,3047
246,0,6,7,13,1356,1551,2907
247,2,5,7,12,1356,1654,3010
248,1,18,20,38,4268,4556,8824
249,1,21,24,45,4100,6482,10582
250,1,25,28,53,5432,8778,14210
251,1,21,23,44,2798,7480,10278
252,6,23,24,47,4115,7604,11719
253,3,22,22,44,4156,6776,10932
254,1,25,27,52,4323,7776,12099
255,2,5,6,11,39,2864,2903
256,3,42,49,91,9517,14015,23532
257,0,8,8,16,1356,1638,2994
258,0,6,7,13,1356,1493,2849
259,1,6,8,14,1356,1796,3152
260,1,2,2,4,1317,0,1317
261,1,3,3,6,1509,0,1509
262,1,2,2,4,1317,0,1317
263,0,2,2,4,1341,0,1341
264,2,21,23,44,1497,8245,9742
265,2,4,6,10,39,1773,1812
267,1,10,11,21,2689,4116,6805
268,2,33,32,65,6996,8351,15347
269,0,18,23,41,2767,8613,11380
270,1,21,22,43,4084,6066,10150
271,0,19,23,42,2767,7597,10364
272,0,16,16,32,2728,5547,8275
273,0,7,8,15,1356,1660,3016
274,0,6,7,13,1356,1555,2911
275,0,7,8,15,1387,1676,3063
276,1,8,8,16,1548,1756,3304
277,2,7,8,15,1387,1744,3131
278,1,5,7,12,1356,1683,3039
279,0,8,9,17,1468,2890,4358
280,0,7,8,15,1364,1823,3187
281,0,6,7,13,1364,1703,3067
282,0,18,18,36,4261,4363,8624
283,0,22,22,44,4203,7802,12005
284,1,23,27,50,4139,7698,11837
285,43,22,23,45,4108,7549,11657
286,10,26,29,55,4131,9374,13505
287,1,6,8,14,1364,1827,3191
288,0,7,8,15,1364,1497,2861
289,2,7,9,16,1380,2989,4369
290,0,18,20,38,5610,5759,11369
291,0,27,28,55,4178,9356,13534
292,52,20,21,41,2767,7470,10237
293,0,22,22,44,4124,5903,10027
294,1,2,2,4,1381,0,1381
295,1,4,6,10,39,1664,1703
296,0,10,11,21,2912,1478,4390
297,0,4,5,9,39,1697,1736
298,2,7,8,15,1364,1654,3018
299,0,6,7,13,1364,1649,3013
300,0,10,11,21,2744,3090,5834
301,1,4,6,10,39,1486,1525
304,0,20,22,42,4316,4976,9292
305,0,6,8,14,1364,1602,2966
306,2,5,7,12,1364,1805,3169
307,2,11,12,23,4030,3008,7038
308,0,25,26,51,2806,8641,11447
309,1,0,0,0,0,0,0
310,2,0,0,0,0,0,0
311,0,45,60,105,5111,43207,48318
312,0,19,21,40,4148,4956,9104
313,2,0,0,0,0,0,0
317,1,0,0,0,0,0,0
319,2,0,0,0,0,0,0
327,2,0,0,0,0,0,0
328,2,0,0,0,0,0,0
329,0,2,2,4,0,0,0
330,2,12,10,22,635,3801,4436
331,2,4,4,8,2931,169,3100
333,8,4,4,8,63,0,63
340,2,0,0,0,0,0,0
341,0,4,4,8,2221,0,2221
342,0,12,37,49,39,40340,40379
348,2,0,0,0,0,0,0
349,2,0,0,0,0,0,0
352,2,3,3,6,1941,0,1941
353,0,17,20,37,2789,2056,4845
354,0,28,28,56,4589,5531,10120
358,0,8,10,18,1572,3574,5146
360,0,31,28,59,4206,7781,11987
361,2,8,9,17,1468,737,2205
363,1,0,0,0,0,0,0
364,0,3,3,6,1765,0,1765
365,1,3,5,8,39,819,858
367,1,0,0,0,0,0,0
368,0,6,8,14,1964,1834,3798
369,2,0,0,0,0,0,0
370,2,0,0,0,0,0,0
371,0,6,8,14,1788,995,2783
372,1,12,36,48,1804,37110,38914
373,5,0,0,0,0,0,0
374,1,0,0,0,0,0,0
375,1,8,9,17,2068,4055,6123
376,1,0,0,0,0,0,0
378,0,7,8,15,1732,787,2519
380,1,0,0,0,0,0,0
381,0,3,3,6,1925,0,1925
382,2,4,5,9,39,1849,1888
384,1,0,0,0,0,0,0
385,0,6,8,14,1804,1152,2956
386,1,0,0,0,0,0,0
388,1,8,8,16,2044,1833,3877
389,1,0,0,0,0,0,0
390,0,1,1,2,55,0,55
391,3,16,16,32,3184,3540,6724
392,2,5,6,11,39,878,917
395,3,7,8,15,2060,1990,4050
396,24,0,0,0,0,0,0
397,42,0,0,0,0,0,0
398,17,3,3,6,1669,0,1669
399,6,5,6,11,39,729,768
400,4,0,0,0,0,0,0
402,5,27,47,74,3792,38156,41948
403,7,0,0,0,0,0,0
404,73,0,0,0,0,0,0
405,103,0,0,0,0,0,0
406,14,8,9,17,1836,3557,5393
408,4,0,0,0,0,0,0
409,4,6,8,14,1900,1893,3793
410,20,0,0,0,0,0,0
411,26,0,0,0,0,0,0
412,11,0,0,0,0,0,0
413,8,6,8,14,1516,762,2278
414,2,2,2,4,0,0,0
415,3,7,6,13,561,147,708
416,7,5,5,10,2851,419,3270
417,0,7,8,15,1660,1813,3473
418,1,0,0,0,0,0,0
421,1,15,17,32,3263,1315,4578
422,2,0,6,6,0,1751,1751
423,6,4,0,4,0,0,0
424,44,0,0,0,0,0,0
425,7,2,1,3,39,0,39
426,3,6,9,15,2092,4036,6128
427,1,0,0,0,0,0,0
429,1,0,0,0,0,0,0
430,1,15,42,57,2372,37097,39469
431,0,6,7,13,1420,604,2024
433,4,0,0,0,0,0,0
434,2,0,0,0,0,0,0
436,0,9,10,19,2324,4622,6946
437,19,0,0,0,0,0,0
438,25,0,0,0,0,0,0
439,11,3,3,6,1429,0,1429
440,4,5,5,10,39,596,635
441,7,0,0,0,0,0,0
442,2,0,0,0,0,0,0
443,6,3,3,6,1837,0,1837
444,0,6,6,12,39,4067,4106
446,2,0,0,0,0,0,0
447,6,7,8,15,1564,1088,2652
448,39,0,0,0,0,0,0
449,2,0,0,0,0,0,0
450,4,0,0,0,0,0,0
451,2,15,17,32,3319,2823,6142
452,0,4,4,8,39,171,210
453,18,0,0,0,0,0,0
454,3,0,0,0,0,0,0
455,2,8,8,16,1492,758,2250
458,5,3,3,6,1837,0,1837
459,0,9,9,18,1708,4088,5796
460,0,17,37,54,39,36630,36669
462,0,6,8,14,1492,932,2424
465,0,7,9,16,1931,1717,3648
467,2,0,0,0,0,0,0
469,0,6,8,14,1580,1127,2707
470,13,30,40,70,1676,36311,37987
472,0,7,8,15,1852,1821,3673
474,1,0,0,0,0,0,0
475,2,3,3,6,1501,0,1501
476,10,7,9,16,39,3411,3450
aggregate,1736,13277,3580,16857,541860,1626234,2168094
average,3.64706,27.8929,7.52101,35.4139,1138.36,3416.46,4554.82
