time,# of other packets,# of uplink PG packets,# of downlink PG packets,# of total PG packets,uplink PG BW,downlink PG BW,total PG BW
0,0,3,3,6,1629,0,1629
1,1,3,5,8,39,1403,1442
2,1,0,0,0,0,0,0
3,3,0,0,0,0,0,0
4,1,10,12,22,1835,4742,6577
5,1,0,0,0,0,0,0
6,1,0,0,0,0,0,0
8,2,8,9,17,1852,1732,3584
9,1,3,0,3,1757,0,1757
10,1,18,32,50,39,33838,33877
11,3,2,2,4,1429,0,1429
12,3,12,15,27,1451,5783,7234
13,0,33,39,72,7483,6402,13885
14,0,1,1,2,0,169,169
15,2,9,13,22,2937,1252,4189
16,0,7,7,14,2855,935,3790
17,1,0,1,1,0,0,0
18,3,5,6,11,1364,488,1852
19,0,7,8,15,1420,2006,3426
20,1,6,7,13,1420,2229,3649
21,1,0,0,0,0,0,0
22,0,6,6,12,3170,0,3170
23,0,26,36,62,78,35131,35209
24,2,0,0,0,0,0,0
25,1,0,0,0,0,0,0
26,0,10,10,20,2745,2363,5108
27,0,3,5,8,39,430,469
30,0,7,8,15,1612,848,2460
32,2,0,0,0,0,0,0
33,3,16,43,59,3000,35608,38608
36,3,7,8,15,1756,2694,4450
37,0,6,8,14,1395,655,2050
40,0,4,7,11,1420,737,2157
42,1,3,0,3,1789,0,1789
43,0,21,39,60,1364,34772,36136
44,0,3,5,8,39,762,801
45,2,0,0,0,0,0,0
46,0,7,8,15,1507,2556,4063
47,0,6,8,14,1364,684,2048
50,1,7,8,15,2974,751,3725
51,2,0,1,1,0,0,0
53,2,0,0,0,0,0,0
54,2,4,7,11,1420,522,1942
55,1,0,0,0,0,0,0
56,0,11,10,21,3030,3171,6201
57,3,11,13,24,2712,1452,4164
58,0,0,1,1,0,0,0
59,1,0,0,0,0,0,0
60,1,0,0,0,0,0,0
61,0,6,7,13,1420,703,2123
64,0,8,9,17,2974,555,3529
65,1,0,0,0,0,0,0
66,2,11,9,20,4555,3561,8116
67,1,28,43,71,1403,35632,37035
68,1,1,1,2,39,0,39
69,0,3,3,6,1869,0,1869
70,0,15,16,31,1458,2271,3729
71,0,6,8,14,1556,671,2227
73,1,0,0,0,0,0,0
74,2,6,2,8,1356,0,1356
75,11,26,30,56,2606,8222,10828
76,7,2,1,3,1381,0,1381
77,1,7,8,15,39,4068,4107
78,3,7,8,15,1556,594,2150
79,3,0,0,0,0,0,0
