time,activity
0,Idle
1,Idle
2,Idle
3,Idle
4,Idle
5,Idle
6,Idle
7,Idle
8,Idle
9,Idle
10,Idle
11,Idle
12,Idle
13,Idle
14,Idle
15,Idle
16,Idle
17,Idle
18,Idle
19,Idle
20,Idle
21,Idle
22,Idle
23,Idle
24,Idle
25,Idle
26,Idle
27,Idle
28,Idle
29,Idle
30,Idle
31,Idle
32,Idle
33,Idle
34,Idle
35,Idle
36,Idle
37,Idle
38,Idle
39,Raid
40,Raid
41,Raid
42,Raid
43,Raid
44,Raid
45,Raid
46,Raid
47,Raid
48,Raid
49,Raid
50,Raid
51,Raid
52,Raid
53,Raid
54,Raid
55,Raid
56,Raid
57,Raid
58,Raid
59,Raid
60,Raid
61,Raid
62,Raid
63,Raid
64,Raid
65,Raid
66,Raid
67,Raid
68,Raid
69,Raid
70,Raid
71,Raid
72,Raid
73,Raid
74,Raid
75,Raid
76,Raid
77,Raid
78,Raid
79,Raid
80,Raid
81,Raid
82,Raid
83,Raid
84,Raid
85,Raid
86,Raid
87,Raid
88,Raid
89,Raid
90,Raid
91,Raid
92,Raid
93,Raid
94,Raid
95,Raid
96,Raid
97,Raid
98,Raid
99,Raid
100,Raid
101,Raid
102,Raid
103,Raid
104,Raid
105,Raid
106,Raid
107,Raid
108,Raid
109,Raid
110,Raid
111,Raid
112,Raid
113,Raid
114,Raid
115,Raid
116,Raid
117,Raid
118,Raid
119,Raid
120,Raid
121,Raid
122,Raid
123,Raid
124,Raid
125,Raid
126,Raid
127,Raid
128,Raid
129,Raid
130,Raid
131,Raid
132,Raid
133,Raid
134,Raid
135,Raid
136,Raid
137,Raid
138,Raid
139,Raid
140,Raid
141,Raid
142,Raid
143,Raid
144,Raid
145,Raid
146,Raid
147,Raid
148,Raid
149,Raid
150,Raid
151,Raid
152,Raid
153,Raid
154,Raid
155,Raid
156,Raid
157,Raid
158,Raid
159,Raid
160,Raid
161,Raid
162,Raid
163,Raid
164,Raid
165,Raid
166,Raid
167,Raid
168,Raid
169,Raid
170,Raid
171,Raid
172,Raid
173,Raid
174,Raid
175,Raid
176,Raid
177,Raid
178,Raid
179,Raid
180,Raid
181,Raid
182,Raid
183,Raid
184,Raid
185,Raid
186,Raid
187,Raid
188,Raid
189,Raid
190,Raid
191,Raid
192,Raid
193,Raid
194,Raid
195,Raid
196,Raid
197,Raid
198,Raid
199,Raid
200,Raid
201,Raid
202,Raid
203,Raid
204,Raid
205,Raid
206,Raid
207,Raid
208,Raid
209,Raid
210,Raid
211,Raid
212,Raid
213,Raid
214,Raid
215,Raid
216,Raid
217,Raid
218,Raid
219,Raid
220,Raid
221,Raid
222,Raid
223,Raid
224,Raid
225,Raid
226,Raid
227,Raid
228,Raid
229,Raid
230,Raid
231,Raid
232,Raid
233,Raid
234,Raid
235,Raid
236,Raid
237,Raid
238,Raid
239,Raid
240,Raid
241,Raid
242,Raid
243,Raid
244,Raid
245,Raid
246,Raid
247,Raid
248,Raid
249,Raid
250,Raid
251,Raid
252,Raid
253,Raid
254,Raid
255,Raid
256,Raid
257,Raid
258,Raid
259,Raid
260,Raid
261,Raid
262,Raid
263,Raid
264,Raid
265,Raid
266,Raid
267,Raid
268,Raid
269,Raid
270,Raid
271,Raid
272,Raid
273,Raid
274,Raid
275,Raid
276,Raid
277,Raid
278,Raid
279,Raid
280,Raid
281,Raid
282,Raid
283,Raid
284,Raid
285,Raid
286,Raid
287,Raid
288,Raid
289,Raid
290,Raid
291,Raid
292,Raid
293,Raid
294,Raid
295,Raid
296,Raid
297,Raid
298,Raid
299,Raid
300,Raid
301,Raid
302,Raid
303,Raid
304,Raid
305,Raid
306,Raid
307,Raid
308,Raid
309,Raid
310,Raid
311,Raid
312,Raid
313,Raid
314,Raid
315,Raid
316,Raid
317,Raid
318,Raid
319,Raid
320,Raid
321,Raid
322,Raid
323,Raid
324,Raid
325,Raid
326,Raid
327,Raid
328,Raid
329,Raid
330,Raid
331,Raid
332,Raid
333,Raid
334,Raid
335,Raid
336,Raid
337,Raid
338,Raid
339,Raid
340,Raid
341,Raid
342,Raid
343,Idle
344,Idle
345,Idle
346,Idle
347,Idle
348,Idle
349,Idle
350,Idle
351,Idle
352,Idle
353,Idle
354,Idle
355,Idle
356,Idle
357,Idle
358,Idle
359,Idle
360,Idle
361,Idle
362,Idle
363,Idle
364,Idle
365,Idle
366,Idle
367,Idle
368,Idle
369,Idle
370,Idle
371,Idle
372,Idle
373,Idle
374,Idle
375,Idle
376,Idle
377,Idle
378,Idle
379,Idle
380,Idle
381,Idle
382,Idle
383,Idle
384,Idle
385,Idle
386,Idle
387,Idle
388,Idle
389,Idle
390,Idle
391,Idle
392,Idle
393,Idle
394,Idle
395,Idle
396,Idle
